index,reactant_smiles
224,Fc1cccc(F)c1P(c1c(F)cccc1F)c1c(F)cccc1F
225,CC1(C)OC[C@H](COCC[C@H]2OC(C)(C)O[C@H]2/C=C/CC[C@H]2OC(C)(C)O[C@H]2C=O)O1
226,O=Cc1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1
227,O=Cc1ccc(C(=O)OCc2ccccc2)cc1OCc1ccccc1
228,CC(=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
229,Cc1cc(C=O)nn1-c1ccc2ccccc2c1
230,COC(=O)c1ccc(C=O)c([N+](=O)[O-])c1
231,Fc1ccc(F)c(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
232,C=CCn1c(C=O)cc2c1CC=CC2
233,COc1ccc([C@@H](C=O)c2ccccc2)c(OC)c1
234,CC(C)[Si](OC[C@@H]1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2CC1=O)(C(C)C)C(C)C
235,CCOC(OCC)c1ccccc1C=O
236,COc1ccc(C=O)c(CCC(C)C)c1F
237,CCCCCCc1csc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
238,C/C=C/CCCCCCCC=O
239,CCOc1ccc(-n2cnc3cc(C=O)cnc32)cc1
240,CCOC(=O)/C(C)=C/C=P(c1ccccc1)(c1ccccc1)c1ccccc1
241,COCC(C)=O
242,O=Cc1ccc(-n2cnc([N+](=O)[O-])n2)cc1
243,O=C(O)CCCC(=O)c1ccccc1
244,CC(C=CC1=C(C)CCCC1(C)C)=CC(C)=P(c1ccccc1)(c1ccccc1)c1ccccc1
245,CO[C@H]1CC[C@H]([C@H]2CC[C@H](CC=O)CC2)CC1
246,COC(=O)c1ccc(C(=O)c2cc3c(cc2C)C(C)(C)CCC3(C)C)cc1I
247,C[C@H](CC=CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1)OCOCc1ccccc1
248,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)NCC1CCOCC1
249,Fc1cccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
250,C=CC[C@H]1CCCC[C@@H](CC(=O)OC(C)(C)C)C1=O
251,Cc1ccc2c(c1)C(=O)C(=O)N2C(=O)OC(C)(C)C
252,O=CCCCOC1CCCCO1
253,COC(=O)C1=C(c2ccc([N+](=O)[O-])cc2)OC(=O)C1=P(c1ccccc1)(c1ccccc1)c1ccccc1
254,O=C1CCCCCCCCCCCCCC1
255,CC(C)(CC=O)CCOC1CCCCO1
256,CCCC[C@@H](C=O)[C@@H](c1ccccc1)[C@@H](C)[N+](=O)[O-]
257,Cc1ccncc1C=P(c1ccccc1)(c1ccccc1)c1ccccc1
258,C[Sn](C)(C)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
259,O=Cc1ccc(OCc2ccccc2)c(CO)c1
260,CC1(C)O[C@H]([C@H](O)CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@H](C=O)O1
261,COCOc1cc(C=O)cc(OCOC)c1OCOC
262,CC(C)(C)OC(=O)C1CC(=O)C1
263,Cc1cc(C)n2nc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)nc2n1
264,C[C@H](CC=O)[C@@H]1COC(C)(C)O1
265,Cc1nc2ccc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)nn2c1C
266,C/C=C/Oc1ccc([C@H]2CC[C@H]([C@H]3CC[C@H](C=O)CC3)CC2)c(F)c1F
267,COCCOc1ccc(C=O)c(O)c1
268,O=CCCc1ccsc1
269,CC1=C(C)C(O/C=C(\C)C=O)OC1=O
270,CCCC/C(C)=C/C=C(\C)C(=O)c1c(O)cc(C(C)CCC=O)n(C)c1=O
271,CCOC(=O)C(CCc1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
272,O=CC1CCC(F)(F)CC1
273,O=C1CCc2c(Br)cccc21
274,Cc1c(C=O)sc2c1C(C)(C)CCC2(C)C
275,CC(C)(C)[Si](C)(C)O[C@H]1CC[C@]2(C)[C@@H]3[C@@H](C[C@H](O[Si](C)(C)C(C)(C)C)[C@H]2C1)[C@@H]1CCC(=O)[C@@]1(C)C[C@@H]3O[Si](C)(C)C(C)(C)C
276,COC(=O)CC(C)(C)CC(=O)c1ccccc1
277,COc1ccc(Cn2nc(Br)nc2C=O)cc1
278,CCC[C@H]1O[C@@H]1C=O
279,COc1ccc(OC)c(C=O)c1
280,CC1=C(C=CC(C)=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(C)(C)CCC1
281,COc1cc(C)cc(C=O)c1C(=O)O
282,CC(=O)c1cc(F)ccc1F
283,COc1ccc(F)cc1C(=O)c1cc(NCCC(F)(F)F)c2ncc(-c3ccc(C(=O)NC4CC4)c(C)c3)n2n1
284,CC1(C=O)CCN(C(=O)OC(C)(C)C)CC1
285,CC(C)(C)OC(=O)N1C[C@H](F)C[C@H]1C=O
